time,open,high,low,close,tick_volume
1700000060,2029.87,2030.62,2029.57,2030.12,121
1700000120,2029.99,2030.74,2029.69,2030.24,122
1700000180,2030.11,2030.86,2029.81,2030.36,123
1700000240,2030.23,2030.98,2029.93,2030.48,124
1700000300,2030.35,2031.1,2030.05,2030.6,125
1700000360,2030.47,2031.22,2030.17,2030.72,126
1700000420,2030.59,2031.34,2030.29,2030.84,127
1700000480,2030.71,2031.46,2030.41,2030.96,128
1700000540,2030.83,2031.58,2030.53,2031.08,129
1700000600,2030.95,2031.7,2030.65,2031.2,130
1700000660,2031.07,2031.82,2030.77,2031.32,131
1700000720,2031.19,2031.94,2030.89,2031.44,132
1700000780,2031.31,2032.06,2031.01,2031.56,133
1700000840,2031.43,2032.18,2031.13,2031.68,134
1700000900,2031.55,2032.3,2031.25,2031.8,135
1700000960,2031.67,2032.42,2031.37,2031.92,136
1700001020,2031.79,2032.54,2031.49,2032.04,137
1700001080,2031.91,2032.66,2031.61,2032.16,138
1700001140,2032.03,2032.78,2031.73,2032.28,139
1700001200,2032.15,2032.9,2031.85,2032.4,140
1700001260,2032.27,2033.02,2031.97,2032.52,141
1700001320,2032.39,2033.14,2032.09,2032.64,142
1700001380,2032.51,2033.26,2032.21,2032.76,143
1700001440,2032.63,2033.38,2032.33,2032.88,144
1700001500,2032.75,2033.5,2032.45,2033.0,145
1700001560,2032.87,2033.62,2032.57,2033.12,146
1700001620,2032.99,2033.74,2032.69,2033.24,147
1700001680,2033.11,2033.86,2032.81,2033.36,148
1700001740,2033.23,2033.98,2032.93,2033.48,149
1700001800,2033.35,2034.1,2033.05,2033.6,150
1700001860,2033.47,2034.22,2033.17,2033.72,151
1700001920,2033.59,2034.34,2033.29,2033.84,152
1700001980,2033.71,2034.46,2033.41,2033.96,153
1700002040,2033.83,2034.58,2033.53,2034.08,154
1700002100,2033.95,2034.7,2033.65,2034.2,155
1700002160,2034.07,2034.82,2033.77,2034.32,156
1700002220,2034.19,2034.94,2033.89,2034.44,157
1700002280,2034.31,2035.06,2034.01,2034.56,158
1700002340,2034.43,2035.18,2034.13,2034.68,159
1700002400,2034.55,2035.3,2034.25,2034.8,120
1700002460,2034.67,2035.42,2034.37,2034.92,121
1700002520,2034.79,2035.54,2034.49,2035.04,122
1700002580,2034.91,2035.66,2034.61,2035.16,123
1700002640,2035.03,2035.78,2034.73,2035.28,124
1700002700,2035.15,2035.9,2034.85,2035.4,125
1700002760,2035.27,2036.02,2034.97,2035.52,126
1700002820,2035.39,2036.14,2035.09,2035.64,127
1700002880,2035.51,2036.26,2035.21,2035.76,128
1700002940,2035.63,2036.38,2035.33,2035.88,129
1700003000,2035.75,2036.5,2035.45,2036.0,130
1700003060,2035.87,2036.62,2035.57,2036.12,131
1700003120,2035.99,2036.74,2035.69,2036.24,132
1700003180,2036.11,2036.86,2035.81,2036.36,133
1700003240,2036.23,2036.98,2035.93,2036.48,134
1700003300,2036.35,2037.1,2036.05,2036.6,135
1700003360,2036.47,2037.22,2036.17,2036.72,136
1700003420,2036.59,2037.34,2036.29,2036.84,137
1700003480,2036.71,2037.46,2036.41,2036.96,138
1700003540,2036.83,2037.58,2036.53,2037.08,139
1700003600,2036.95,2037.7,2036.65,2037.2,140
1700003660,2037.07,2037.82,2036.77,2037.32,141
1700003720,2037.19,2037.94,2036.89,2037.44,142
1700003780,2037.31,2038.06,2037.01,2037.56,143
1700003840,2037.43,2038.18,2037.13,2037.68,144
1700003900,2037.55,2038.3,2037.25,2037.8,145
1700003960,2037.67,2038.42,2037.37,2037.92,146
1700004020,2037.79,2038.54,2037.49,2038.04,147
1700004080,2037.91,2038.66,2037.61,2038.16,148
1700004140,2038.03,2038.78,2037.73,2038.28,149
1700004200,2038.15,2038.9,2037.85,2038.4,150
1700004260,2038.27,2039.02,2037.97,2038.52,151
1700004320,2038.39,2039.14,2038.09,2038.64,152
1700004380,2038.51,2039.26,2038.21,2038.76,153
1700004440,2038.63,2039.38,2038.33,2038.88,154
1700004500,2038.75,2039.5,2038.45,2039.0,155
1700004560,2038.87,2039.62,2038.57,2039.12,156
1700004620,2038.99,2039.74,2038.69,2039.24,157
1700004680,2039.11,2039.86,2038.81,2039.36,158
1700004740,2039.23,2039.98,2038.93,2039.48,159
1700004800,2039.35,2040.1,2039.05,2039.6,120
1700004860,2039.47,2040.22,2039.17,2039.72,121
1700004920,2039.59,2040.34,2039.29,2039.84,122
1700004980,2039.71,2040.46,2039.41,2039.96,123
1700005040,2039.83,2040.58,2039.53,2040.08,124
1700005100,2039.95,2040.7,2039.65,2040.2,125
